Subtopics_name,2022-focus area and code,2021-focus area and code,2020-focus area and code,2019-focus area and code,2018-focus area and code,2017-focus area and code,2016-focus area and code,2015-focus area and code,2014-focus area and code,2012-focus area and code,2011-focus area and code,2010-focus area and code,2009-focus area and code,2008-focus area and code,2007-focus area and code,2006-focus area and code,2005-focus area and code,2004-focus area and code
Precision Deployable Optical Structures and Metrology,Focus Area 10 Advanced Telescope Technologies; S12.02,Focus Area 10 Advanced Telescope Technologies; S2.02,Focus Area 10 Advanced Telescope Technologies; S2.02,Focus Area 10 Advanced Telescope Technologies; S2.02,Focus Area 10 Advanced Telescope Technologies; S2.02,Focus Area 10 Advanced Telescope Technologies; S2.02,TA8.1 Science Instruments; S2.02,TA8.2 Observations; S2.02,TA8.1 Science Instruments; S2.02,Topic S2 Advanced Telescope Systems; S2.02,Topic S2 Advanced Telescope Systems; S2.03,Topic S2 Advanced Telescope Systems; S2.03,Topic S2 Advanced Telescope Systems; S2.03,Topic S2 Advanced Telescope Systems; S2.03,Topic S2 Advanced Telescope Systems; S2.03,,,
Precision Deployable Structures and Metrology for Advanced Telescope Systems,,,,,,,,,,,,,,,,Topic S3 Advanced Telescope Systems; S3.03,,
Precision Formations for Interferometry,,,,,,,,,,,,,,,,,Topic S3 Astronomical Observatories to Seek Earth-like Extrasolar Planets and Environments; S3.01,
Precision Navigation and Tracking,,,,,,,,,,,,,,,,,Topic O1 Space Communications; O1.02,
Precision Spacecraft Formations for Advanced Telescope Systems,,,,,,,,,,,,,,,,Topic S3 Advanced Telescope Systems; S3.01,,
Precision Spacecraft Formations for Telescope Systems,,,,,,,,,,,Topic S2 Advanced Telescope Systems; S2.01,Topic S2 Advanced Telescope Systems; S2.01,Topic S2 Advanced Telescope Systems; S2.01,Topic S2 Advanced Telescope Systems; S2.01,Topic S2 Advanced Telescope Systems; S2.01,,,
Precision Spacecraft Navigation and Tracking,,,,,,,,,,,,,,Topic O4 Navigation; O4.02,,Topic O1 Space Communications; O1.02,,
Precision Spacecraft and Lunar/Planetary Surface Navigation and Tracking,,,,,,,,,,,,,,,Topic O1 Space Communications and Navigation; O1.02,,,
Prediction of Aging Effects,,,,,,,,,,,,Topic A1 Aviation Safety; A1.03,Topic A1 Aviation Safety; A1.03,Topic A1 Aviation Safety; A1.03,Topic A1 Aviation Safety; A1.08,,,
Process Technologies for Life Support System Loop Closure,,,,,,,,,,,,Topic X3 Life Support and Habitation Systems; X3.01,,,,,,
Process Technologies for Water Recycling in Space,,,,,Focus Area 6 Life Support and Habitation Systems; H3.01,,,,,,,,,,,,,
Prognosis of Aircraft Anomalies,,,,,,,,,,,,Topic A1 Aviation Safety; A1.12,Topic A1 Aviation Safety; A1.12,,,,,
Prognostics and Decision Making,,,,,,,,,TA11.4 Information Processing; A1.04,,Topic A1 Aviation Safety; A1.18,,,,,,,
 Systems Engineering and Mission Assurance Tools,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.04,,,
Propulsion Efficiency - Propulsion Materials and Structures,,Focus Area 18 Air Vehicle Technology; A1.03,,Focus Area 18 Air Vehicle Technology; A1.07,,,,,TA12.5 Cross-Cutting; A3.07,,,,,,,,,
Propulsion Efficiency - Turbomachinery Technology,,,,,,,,,,Topic A3 Air Vehicle Technologies; A3.08,,,,,,,,
Propulsion Efficiency - Turbomachinery Technology for High Power Density Turbine-Engines,,,Focus Area 18 Air Vehicle Technology; A1.07,,,,,,,,,,,,,,,
Propulsion Efficiency - Turbomachinery Technology for Reduced Fuel Burn,,,,,,,TA1.3 Air Breathing Propulsion Systems; A1.07,,,,,,,,,,,
Propulsion Efficiency-Propulsion Materials and Structures,,,,,,Focus Area 18 Air Vehicle Technology; A1.07,,,,,,,,,,,,
Propulsion Health State Assessment and Management,,,,,,,,,,,Topic A1 Aviation Safety; A1.06,,,,,,,
Propulsion System Emissions and Noise Prediction and Reduction,,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.01
Propulsion System Performance Prediction for Integrated Flight and Propulsion Control,,,,,,,,,,,Topic A1 Aviation Safety; A1.12,,,,,,,
Propulsion Systems,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.03,Topic S3 Spacecraft and Platform Subsystems; S3.04,Topic S3 Spacecraft and Platform Subsystems; S3.04,Topic S3 Spacecraft and Platform Subsystems; S3.04,Topic S3 Spacecraft and Platform Subsystems; S3.04,Topic S3 Spacecraft and Platform SubSystems; S3.04,,,
Propulsion Systems for Robotic Science Missions,,,,,Focus Area 1 In-Space Propulsion Technologies; Z10.02,Focus Area 1 In-Space Propulsion Technologies; S3.02,TA2.2 Non-Chemical Propulsion; S3.02,TA2.2 Non-Chemical Propulsion; S3.02,TA2.2 Non-Chemical Propulsion; S3.02,,,,,,,,,
Propulsion Technologies,,,,,,,,,,,Topic O2 Space Transportation; O2.02,Topic O2 Space Transportation; O2.02,,,,,,
Protective Pharmaceutical Packaging,Focus Area 7 Human Research and Health Maintenance; H12.07,,,,,,,,,,,,,,,,,
Proximity Glare Suppression for Astronomical Coronagraphy,,,,,,Focus Area 10 Advanced Telescope Technologies; S2.01,TA8.1 Science Instruments; S2.01,TA8.1 Science Instruments; S2.01,TA8.1 Science Instruments; S2.01,Topic S2 Advanced Telescope Systems; S2.01,Topic S2 Advanced Telescope Systems; S2.02,Topic S2 Advanced Telescope Systems; S2.02,Topic S2 Advanced Telescope Systems; S2.02,Topic S2 Advanced Telescope Systems; S2.02,Topic S2 Advanced Telescope Systems; S2.02,,,
Proximity Glare Suppression for Astronomical Direct Detection,,,,,Focus Area 10 Advanced Telescope Technologies; S2.01,,,,,,,,,,,,,
Proximity Glare Suppression for Astronomical Direct Detection of Exoplanets,,Focus Area 10 Advanced Telescope Technologies; S2.01,Focus Area 10 Advanced Telescope Technologies; S2.01,Focus Area 10 Advanced Telescope Technologies; S2.01,,,,,,,,,,,,,,
Proximity Glare Suppression for Characterization of Faint Astrophysical Objects,,,,,,,,,,,,,,,,Topic S3 Advanced Telescope Systems; S3.02,,
Quantifying Bone Degradation with High Resolution Ultrasound,,,,,,,,,,,,Topic X12 Exploration Medical Capability; X12.02,,,,,,
Quantum Communications,,Focus Area 5 Communications and Navigation; T5.04,Focus Area 5 Communications and Navigation; T5.04,,,,,,,,,,,,,,,
Quantum Sensing and Measurement,, and Instruments; T8.06, Detectors and Instruments; T8.06,,,,,,,,,,,,,,,
Quiet Performance,,,,,,,,TA11.2 Modeling; A1.04,TA11.2 Modeling; A3.02,Topic A3 Air Vehicle Technologies; A3.02,,,,,,,,
Quiet Performance - Aircraft Propulsion Noise,Focus Area 18 Air Vehicle Technology; A1.02,,Focus Area 18 Air Vehicle Technology; A1.02,,,,,,,,,,,,,,,
Quiet Performance - Airframe Noise Reduction,,Focus Area 18 Air Vehicle Technology; A1.02,,Focus Area 18 Air Vehicle Technology; A1.02,,Focus Area 18 Air Vehicle Technology; A1.02,,,,,,,,,,,,
Quiet Performance - Propulsion Noise Reduction Technology,,,,,Focus Area 18 Air Vehicle Technology; A1.02,,TA11.2 Modeling; A1.02,,,,,,,,,,,
Radiation Hardened Application Specific Integrated Circuit (ASIC) Platforms,,,,,,,,,TA8.1 Science Instruments; S20.03,,,,,,,,,
 Data Busses,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.01,,,,,
Radiation Hardened Integrated Unit:  GPS/IMU/Time/Processor,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.02,,,,,
Radiation Hardened/Tolerant and Low Temperature Electronics and Processors,,,,,,,,,,Topic H6 Autonomous and Robotic Systems; H6.02,Topic X6 Autonomous Systems and Avionics; X6.02,Topic X6 Autonomous Systems and Avionics; X6.02,Topic X1 Avionics and Software; X1.03,Topic X1 Avionics and Software; X1.03,,,,
Radiation Hardened/Tolerant and Low temperature Electronics and Processors,,,,,,,,,,,,,,,Topic X1 Avionics and Software; X1.03,,,
Radiation Health,,,,,,,,,,,,,,,,,Topic X11 Human Systems Research and Technology; X11.01,
Radiation Measurement Technologies,,,,,,,,,,,Topic X16 Space Radiation; X16.01,,,,,,,
Radiation Prediction (Integrated Advanced Alert/Warning Systems for Solar Proton Events),,,,,,,,,,Topic H11 Radiation Protection; H11.01,,,,,,,,
Radiation Shielding Materials Systems,,,,,,,,,,,Topic X11 Radiation Protection; X11.01,,,,,,,
Radiation Shielding Materials and Structures,,,,,,,,,,,,,,,,Topic X6 Lightweight Structures and Materials; X6.01,,
Radiation Shielding Systems,,,,,,,,,TA6.5 Radiation; H11.01,,,,,,,,,
Radiation Shielding Technologies,,,,,,,,TA6.5 Radiation; H11.01,,,,,,,,,,
Radiation Shielding Technologies - Transport Codes,,,,,,,TA6.5 Radiation; H11.01,,,,,,,,,,,
Radiation Shielding Technologies for Human Protection,,,,,,Focus Area 6 Life Support and Habitation Systems; H11.01,,,,,,,,,,,,
Radiation Shielding to Protect Humans,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.09
 high-power electronics,,,Focus Area 2 Power Energy and Storage; Z1.06,,,,,,,,,,,,,,,
 High-Power Electronics, Energy and Storage; Z1.06, Energy and Storage; Z1.06,,,,,,,,,,,,,,,,
Radioprotectors and Mitigators of Space Radiation-Induced Health Risks,,Focus Area 7 Human Research and Health Maintenance; H12.01,,,,,,,,,,,,,,,,
Radioprotectors and Mitigators of Space Radiation-induced Health Risks,,,Focus Area 7 Human Research and Health Maintenance; H12.01,Focus Area 7 Human Research and Health Maintenance; H12.01,Focus Area 7 Human Research and Health Maintenance; H12.01,Focus Area 7 Human Research and Health Maintenance; H12.01,,,,,,,,,,,,
Rapid Development of Advanced High-Speed Aerosciences Simulation Capability,, and Landing Systems; T9.02,,,,,,,,,,,,,,,,
Rapid End-to-End Mission Design and Simulation,,,,,,,,,,,,,,Topic S4 Low-cost Small Spacecraft and Technologies; S4.02,,,,
 Identification and Correction in Wire-Feed Additive Manufacturing Processes,,, and Assembly; Z4.04,,,,,,,,,,,,,,,
 and Correction in Wire-Feed and Fused-Filament Additive Manufacturing,, and Assembly; Z4.04,,,,,,,,,,,,,,,,
Real-Time Safety Assurance under Unanticipated and Hazardous Conditions,,,,,,,,,TA4.5 Autonomy; A1.03,,,,,,,,,
Reconfigurable/Reprogrammable Communication Systems,,,,,,,,,,,Topic O1 Space Communications; O1.02,Topic O1 Space Communications; O1.02,Topic O1 Space Communications; O1.03,Topic O1 Space Communications; O1.03,Topic O1 Space Communications and Navigation; O1.05,Topic O1 Space Communications; O1.05,Topic O1 Space Communications; O1.06,
Recycling/Reclamation of 3-D Printer Plastic Including Transformation of Launch Package Solutions into 3-D Printed Parts,,,,,,,,TA7.2 Sustainability & Supportability; H14.03,,,,,,,,,,
Recycling/Reclamation of 3-D Printer Plastic for Reuse,,,,,,,,,TA12.4 Manufacturing; H10.01,,,,,,,,,
Reduced Oxygen Usage for Medical Events,,,,Focus Area 7 Human Research and Health Maintenance; H12.05,,,,,,,,,,,,,,
Regolith ISRU for Mission Consumable Production,,,,,,,,TA7.1 In-Situ Resource Utilization; H1.01,,,,,,,,,,
 & Processing of Extraterrestrial Material,,,,,,,,,,,,Topic X1 In Situ Resource Utilization; X1.01,,,,,,
Reliable Software for Exploration Systems,,,,,,,,,,,,,Topic X1 Avionics and Software; X1.02,Topic X1 Avionics and Software; X1.02,Topic X1 Avionics and Software; X1.02,,,
Remote Sensing Instrument Technologies for Heliophysics, and Instruments; S14.03, and Instruments; S1.12, Detectors and Instruments; S1.12,,,,,,,,,,,,,,,
Remotely Operated Mobile Sensing Technologies for inside ISS,,,,,,,,,,,Topic O3 Processing and Operations; O3.01,,,,,,,
Rendezvous and Docking Technologies for Orbiting Sample Capture,,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.04,Topic S5 Robotic Exploration Technologies; S5.04,,,,,
Requirements Management for Spacecraft Autonomy and Space Mission Automation,,,,,,,TA4.5 Autonomy; H6.02,,,,,,,,,,,
Resilient Autonomous Systems,,,,,Focus Area 3 Autonomous Systems for Space Exploration; H6.02,Focus Area 3 Autonomous Systems for Space Exploration; H6.02,,,,,,,,,,,,
Reusable Flight Software,,,,,,,,,,,,,,Topic S4 Low-cost Small Spacecraft and Technologies; S4.04,,,,
 Low Cost Thermal Protection Systems,,,,,,,,,,,,Topic O2 Space Transportation; O2.05,,,,,,
Revolutionary Atmospheric Flight Concepts,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.07,
Revolutionary Flight Concepts,,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.07
Revolutionary Materials and Structures Technology for Propulsion  and Power Components,,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.05
Revolutionary Technologies and Components for Propulsion Systems,,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.03
Risk Modeling and Analysis,,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.07,
 Manipulation and Sampling,Focus Area 4 Robotic Systems for Space Exploration; S13.01,Focus Area 4 Robotic Systems for Space Exploration; S4.02,Focus Area 4 Robotic Systems for Space Exploration; S4.02,Focus Area 4 Robotic Systems for Space Exploration; S4.02,Focus Area 4 Robotic Systems for Space Exploration; S4.02,Focus Area 4 Robotic Systems for Space Exploration; S4.02,TA4.3 Manipulation; S4.02,TA4.3 Manipulation; S4.02,TA4.3 Manipulation; S4.02,Topic S4 Robotic Exploration Technologies; S4.02,,,,,,,,
Robotic Systems - Mobile Manipulation,,,,,Focus Area 4 Robotic Systems for Space Exploration; Z5.02,,,,,,,,,,,,,
Robotic Systems - Mobility Subsystems,,,,,,Focus Area 4 Robotic Systems for Space Exploration; Z5.02,,,,,,,,,,,,
 and Human-System Interaction,,,,,,,TA4.2 Mobility; H6.01,,,,,,,,,,,
Robotic Systems for Human Exploration,,,,,,,,,,,,Topic X7 Human-Robotic Systems; X7.01,Topic X6 Lunar Operations; X6.01,,,,,
Robust Flare Planning and Guidance for Unimpaired and Impaired Aircraft,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.09,,,,
Robust Propulsion Control,,,,,,,,,,,,Topic A1 Aviation Safety; A1.08,,,,,,
Rotating Detonation Rocket Engines (RDRE),Focus Area 1 In-Space Propulsion Technologies; Z10.05,,,,,,,,,,,,,,,,,
Rotorcraft,,,,,,,,,TA12.3 Mechanical Systems; A3.06,Topic A3 Air Vehicle Technologies; A3.07,Topic A2 Fundamental Aeronautics; A2.09,Topic A2 Fundamental Aeronautics; A2.09,Topic A2 Fundamental Aeronautics; A2.09,Topic A2 Fundamental Aeronautics; A2.09,Topic A2 Fundamental Aeronautics; A2.10,Topic A2 Fundamental Aeronautics; A2.10,,
SCaN Testbed (CoNNeCT) Experiments,,,,,,,,,TA5.2 Radio Frequency Communications; H9.01,,,,,,,,,
Sample Collection For Life Detection in Outer Solar System Ocean World Plumes,,,, Detectors and Instruments; S4.06, Detectors and Instruments; S4.06, Detectors and Instruments; S4.06,,,,,,,,,,,,
 and Handling,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.02,Topic S5 Robotic Exploration Technologies; S5.02,Topic S5 Robotic Exploration Technologies; S5.02,Topic S5 Robotic Exploration Technologies; S5.02,,,,
 and Handling Devices,,,,,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.03,,,
Sample Processing For Life Detection Investigations for Ocean Worlds,,,,,, Detectors and Instruments; S1.12,,,,,,,,,,,,
Sample Return Technologies,,,,,,,,,,,,,,,,,Topic S1 Robotic Exploration of the Moon and Mars; S1.05,
Satellite Servicing Technologies,, and Manufacturing (OSAM); Z3.05, and Manufacturing (OSAM); Z3.05,,,,,,,,,,,,,,,
Science Data Discovery in Extremely Large Data Environments,,,,,,,,,,,,Topic S6 Information Technologies; S6.04,,,,,,
Science Instruments for Conducting Solar System Exploration,,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.01,Topic S4 Exploration of the Solar System; S4.01
Secondary and Tertiary Launch Technologies,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.02,,,
Secondary/Auxiliary Payload-to-Launch Vehicle Interface Technologies,,,,,,,,,,,,Topic O2 Space Transportation; O2.01,,,,,,
Sensing and Diagnostic Capabilities for Degradation in Aircraft Materials and Structures,,,,,,,,,,,Topic A1 Aviation Safety; A1.05,,,,,,,
Sensing and Diagnostic Capability,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.06,,,
Sensing and Diagnostic Capability for Aircraft Aging and Damage,,,,,,,,,,,,Topic A1 Aviation Safety; A1.02,Topic A1 Aviation Safety; A1.02,Topic A1 Aviation Safety; A1.02,,,,
Sensing and Imaging,,,,,,,,,,,,,,,,, Electronics and Imaging (CCEI); X1.03,
 and Submillimeter,,, Detectors and Instruments; S1.04, Detectors and Instruments; S1.04,,,,,,,,,,,,,,
 and Submillimeter, and Instruments; S11.04, and Instruments; S1.04,,,,,,,,,,,,,,,,
 Gamma-Ray and Cosmic-Ray Instruments,,,,,,,,,,,,,,,,,Topic S4 Exploration of the Universe Beyond Our Solar System; S4.05,
 Far IR and Submillimeter,,,,, Detectors and Instruments; S1.04, Detectors and Instruments; S1.04,TA8.3 Sensor Systems; S1.03,TA8.1 Science Instruments; S1.03,TA8.3 Sensor Systems; S1.03, Detectors and Instruments; S1.03, Detectors and Instruments; S1.04, Detectors and Instruments; S1.04, Detectors and Instruments; S1.04, Detectors and Instruments; S1.04, and Instruments; S1.04,Topic S4 Exploration of the Universe Beyond our Solar System; S4.01,,
Sensor and Platform Data Processing & Control,,,,,,,,,,,,,,Topic S6 Information Technologies; S6.02,,,,
Sensor and Platform Data Processing and Control,,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.07,,,,,
Sensors and Detectors for Astrophysics,,,,,,,,,,,,,,,,,,Topic S2 Structure and Evolution of the Universe; S2.01
Sensors for Advanced Human Support Technology,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.10
Sensors for Measurement of Particles and Fields,,,,,,,,,,,,,,,,Topic S5 Instrument Technologies for Solar Science; S5.02,,
Sensors to Measure Space Suit Interactions with the Human Body,,,,,,Focus Area 6 Life Support and Habitation Systems; H4.03,,,,,,,,,,,,
Situational Awareness for Multi-Agent Operations,,,,,,,,,,,,,Topic X13 Space Human Factors and Food Systems; X13.02,,,,,
Slow and Fast Light,,,,,,Focus Area 11 Spacecraft and Platform Subsystems; S3.07,TA5.1 Optical Comm. And Navigation; S3.08,TA5.1 Optical Comm. And Navigation; S3.08,,,,,,,,,,
Small Launch Vehicle Technologies and Demonstrations,,,,Focus Area 21 Small Spacecraft Technologies; Z9.01,Focus Area 21 Small Spacecraft Technologies; Z9.01,Focus Area 21 Small Spacecraft Technologies; Z9.01,,,,,,,,,,,,
Small Launcher Lunar Transfer Stage Development,,,Focus Area 21 Small Spacecraft Technologies; Z8.09,,,,,,,,,,,,,,,
Small Personal Dosimetry,,,,,,,,,,,,,,,Topic X14 Space Radiation; X14.01,,,
Small Spacecraft Avionics and Control,,,,,,Focus Area 21 Small Spacecraft Technologies; Z8.05,,,,,,,,,,,,
Small Spacecraft Communication Systems,,,,,,Focus Area 21 Small Spacecraft Technologies; Z8.02,,,,,,,,,,,,
Small Spacecraft Power and Thermal Control,,,,,,Focus Area 21 Small Spacecraft Technologies; Z8.03,,,,,,,,,,,,
Small Spacecraft Propulsion Systems,,,,,,Focus Area 21 Small Spacecraft Technologies; Z8.01,,,,,,,,,,,,
 and Manufacturing,,,,,,Focus Area 21 Small Spacecraft Technologies; Z8.04,,,,,,,,,,,,
Small Spacecraft Transfer Stage Development,Focus Area 21 Small Spacecraft Technologies; Z8.09,Focus Area 21 Small Spacecraft Technologies; Z8.09,,,,,,,,,,,,,,,,
 and Structures,,,,,,,,TA3.1 Power Generation; Z4.01,,,,,,,,,,
 Accurate Oxygen Compatible Gas Flow Meter for Suit Operations,,,,,,Focus Area 6 Life Support and Habitation Systems; H4.02,,,,,,,,,,,,
Smart Phone Driven Blood-Based Diagnostics,,,,,,,,,,,Topic X13 Exploration Medical Capability; X13.01,,,,,,,
 Adaptive Aerospace Vehicles With Intelligence,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.06,Topic A2 Vehicle Systems; A2.06
 Algorithms and Data Management,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.05,,,
Software Architectures and Integrated Control Strategies for Advanced Life Support Systems,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.08
Software Engineering,,,,,,,,,,,,,,,,, Intelligent Systems and Modeling; X5.01,
Software Engineering Technologies for Human-Rated Spacecraft,,,,,,,,,,,,,,,,Topic X2 Avionics and Software; X2.03,,
Software Engineering Tools for Scientific Models,,,,,,,,,,,,Topic S6 Information Technologies; S6.05,Topic S6 Information Technologies; S6.05,,,,,
Software as a Service to Large Scale Modeling,,,,,,,,,,,,,,Topic S6 Information Technologies; S6.05,,,,
Software for Space Communications Infrastructure Operations,,,,,,,,,,,,,Topic O1 Space Communications; O1.09,Topic O1 Space Communications; O1.09,Topic O1 Space Communications and Navigation; O1.11,Topic O1 Space Communications; O1.11,,
 or Ancillary Functions,,Focus Area 21 Small Spacecraft Technologies; T5.05,,,,,,,,,,,,,,,,
Solid Oxide Fuel Cells and Electrolyzers,,,,,,,TA3.4 Cross Cutting Technology; H8.02,TA3.1 Power Generation; H8.02,TA3.4 Cross Cutting Technology; H8.01,,,,,,,,,
Solid and Liquid Waste Management for Human Spacecraft,,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H20.01,,,,,,,,,,
Solid-State Thermal-to-Electric Power Generation,,,,,,,,TA3.4 Cross Cutting Technology; Z1.02,,,,,,,,,,
Space Assembly Maintenance & Servicing,,,,,,,,,,,,,,,,,Topic X6 Advanced Space Operations (ASO); X6.02,
Space Based Nuclear Fission Power Technologies,,,,,,,,,,,,,,,,Topic X8 Energy Generation and Storage; X8.02,,
Space Debris Prevention for Small Spacecraft,Focus Area 21 Small Spacecraft Technologies; Z8.13,,,,,,,,,,,,,,,,,
Space Exploration Plant Growth,,Focus Area 6 Life Support and Habitation Systems; T6.07,Focus Area 6 Life Support and Habitation Systems; T6.07,,Focus Area 6 Life Support and Habitation Systems; T7.02,,,,,,,,,,,,,
Space Geodetic Observatory Components,,,,,,,,,,,, Detectors and Instruments; S1.10, Detectors and Instruments; S1.10, Detectors and Instruments; S1.10,,,,
Space Human Factors Assessment Tools,,,,,,,,,,,,,,Topic X12 Space Human Factors and Food Systems; X12.01,Topic X13 Space Human Factors and Food Systems; X13.01,,,
Space Human Factors Engineering,,,,,,,,,,,,,,,,,Topic X13 Human Systems Integration; X13.01,
Space Human Factors and Human Performance,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.02
Space Market Driven Research,,,,,,,,,,,,,,,,,,Topic B4 Partnerships and Market Driven Research; B4.01
Space Networking,,,,,,,,,,,,Topic O1 Space Communications; O1.06,,,,,,
Space Nuclear Power Systems,,,,,,,,TA3.1 Power Generation; H8.01,TA3.1 Power Generation; H8.02,Topic H8 High Efficiency Space Power Systems; H8.03,Topic X8 High-Efficiency Space Power Systems; X8.03,Topic X8 High-Efficiency Space Power Systems; X8.03,,,,,,
Space Nuclear Propulsion,,Focus Area 1 In-Space Propulsion Technologies; Z10.03,,,,,,,,,,,,,,,,
Space Radiation Health Research Technology,,,,,,,,,,,,,,,,Topic X13 Space Radiation; X13.01,,
Space Rated  Batteries and Fuel Cells for Surface Systems,,,,,,,,,,,,,,,,Topic X8 Energy Generation and Storage; X8.03,,
 and Integrated Systems,,,,,,,,,,,,,,,Topic X4 Extra Vehicular Activity (EVA); X4.03,,,
Space Suit Life Support  and Avionics Systems,,,,,,,,,,Topic H4 Extra-Vehicular Activity Technology; H4.02,,,,,,,,
Space Suit Life Support Systems,,,,,,,,,,,Topic X4 Extra-Vehicular Activity Technology; X4.02,Topic X4 Extra-Vehicular Activity Technology; X4.02,,,Topic X4 Extra Vehicular Activity (EVA); X4.02,,,
Space Suit Pressure Garment and Airlock Technologies,,,,,,,,,TA6.2 Extravehicular Activity Systems; H4.01,Topic H4 Extra-Vehicular Activity Technology; H4.01,Topic X4 Extra-Vehicular Activity Technology; X4.01,Topic X4 Extra-Vehicular Activity Technology; X4.01,,,Topic X4 Extra Vehicular Activity (EVA); X4.01,,,
 and Integrated Systems,,,,,,,,,,,,Topic X4 Extra-Vehicular Activity Technology; X4.03,,,,,,
 and Audio,,,,,,,,,,,Topic X4 Extra-Vehicular Activity Technology; X4.03,,,,,,,
Space Transportation Propulsion System and Test Facility Requirements and Instrumentation,,,,,,,,,,,,,,,Topic O2 Space Transportation; O2.02,Topic O2 Space Transportation; O2.02,,
Space Transportation Test Requirements and Instrumentation,,,,,,,,,,,,,,,,,Topic O2 Space Transportaion; O2.02,
Space Weather R2O/O2R Technology Development,,,Focus Area 13 Information Technologies for Science Data; S5.06,Focus Area 13 Information Technologies for Science Data; S5.06,Focus Area 13 Information Technologies for Science Data; S5.06,,,,,,,,,,,,,
Space Weather Research-to-Operations/Operations-to-Research (R2O/O2R) Technology Development,Focus Area 13 Information Technologies for Science Data; S14.01,Focus Area 13 Information Technologies for Science Data; S5.06,,,,,,,,,,,,,,,,
Space-Based Industries,,,,,,,,,,,,,,,,,Topic X14 Space-Based Industry Enabling Technologies; X14.01,
Space-Based Range Technologies,,,,,,,,,,,,,Topic O4 Navigation; O4.05,,,,,
Space-Rated Batteries,,,,,,,,,,,Topic X8 High-Efficiency Space Power Systems; X8.02,,,,,,,
Space-Rated Fuel Cell Technologies, Energy and Storage; Z1.08,,,,,,,,,,,,,,,,,
Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration,Focus Area 3 Autonomous Systems for Space Exploration; H6.23,Focus Area 3 Autonomous Systems for Space Exploration; H6.23,,Focus Area 3 Autonomous Systems for Space Exploration; H6.03,Focus Area 3 Autonomous Systems for Space Exploration; H6.03,Focus Area 3 Autonomous Systems for Space Exploration; H6.03,,,,,,,,,,,,
Spacecraft Autonomy,,,,,,,,,,,,,,,,Topic X2 Avionics and Software; X2.02,,
Spacecraft Autonomy and Space Mission Automation,,,,,,,,,TA4.5 Autonomy; H6.01,Topic H6 Autonomous and Robotic Systems; H6.01,Topic X6 Autonomous Systems and Avionics; X6.01,,,,,,,
Spacecraft Autonomy and Space Mission Automation for Consumables,,,,,,,TA4.5 Autonomy; H6.03,,,,,,,,,,,
Spacecraft Cabin Atmosphere Quality and Thermal Management,,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H3.03,,,,,,,,,,
Spacecraft Cabin Atmosphere Revitalization and Particulate Management,,,,,,,,,,,,,Topic X2 Environmental Control and Life Support; X2.01,,,,,
Spacecraft Cabin Atmospheric Management and Habitation Systems,,,,,,,,,,,,,,,,Topic X3 Environmental Control and Life Support (ECLS); X3.01,,
Spacecraft Cabin Atmospheric Resource Management and Particulate Matter Removal,,,,,,,,,,,,,,Topic X2 Environmental Control and Life Support; X2.02,Topic X3 Environmental Control and Life Support (ECLS); X3.01,,,
Spacecraft Cabin Environmental Monitoring and Control,,,,,,,,,,,,,,,Topic X3 Environmental Control and Life Support (ECLS); X3.03,,,
Spacecraft Cabin Ventilation and Thermal Control,,,,,,,,,,,Topic X3 Life Support and Habitation Systems; X3.04,,,Topic X2 Environmental Control and Life Support; X2.01,,,,
Spacecraft Environmental Monitoring and Control,,,,,,,,,,,,,Topic X2 Environmental Control and Life Support; X2.03,Topic X2 Environmental Control and Life Support; X2.04,,,,
